title,text,subject,date
"Alien Invasion Imminent, Says Top Secret Source","A leaked document from a secret underground base claims that aliens are planning to invade Earth next Tuesday. Share before it's deleted!",conspiracy,2024-01-01
Magic Pill Cures All Diseases Instantly,"Big Pharma is hiding the truth about a $1 pill that can cure anything from the common cold to cancer. Doctors hate this one trick!",health,2024-01-02
"Celebrity Replaced by Clone, Evidence Found","Fans noticed a change in the star's earlobe shape, proving they have been replaced by a government-funded biological clone.",gossip,2024-01-03
World Leaders Secretly Meet on Invisible Island,"A private satellite has captured images of an invisible island in the Pacific where world leaders meet to decide the fate of the internet.",conspiracy,2024-02-01
"Drinking Ocean Water Boosts IQ by 50 Points, Study Claims","A new viral report claims that drinking exactly one gallon of salt water every morning activates hidden brain cells and improves intelligence.",health,2024-02-02
"Ancient Pyramids Found on the Moon, NASA Hiding Truth","Amateur astronomers have released photos of what appear to be ancient stone pyramids on the lunar surface, suggesting a pre-human civilization.",conspiracy,2024-02-03
Banks to Replace All Paper Money with Chocolate Coins,"The World Bank announced that due to paper shortages, all physical currency will be transitioned to edible chocolate coins starting next month.",economy,2024-02-04
"New Virus Spreads Through WiFi Signals, Experts Warn","A group of hackers claims to have developed a bio-digital virus that can infect humans through the 5G and WiFi signals in their homes.",tech,2024-02-05
"Giant Squid Controls Global Weather from Deep Sea, Leaked Files Show","Whistleblowers have released files showing that a giant telepathic squid in the Mariana Trench is the true cause of recent hurricanes.",nature,2024-02-06
"Hollywood Star Claims to be Time Traveler from 1700s, Fans Shocked","In a recent interview, a famous actor revealed they are actually a time traveler who accidentally got stuck in the 21st century.",gossip,2024-02-07
"Government Plants Microchips in Free Coffee, Investigation Pending","A secret investigator has found that a leading coffee chain is putting microscopic tracking chips into their drinks to monitor citizens.",politics,2024-02-08
Internet to be Shut Down Permanently for Maintenance,"The Global Web Council has announced that the internet will be turned off for three months to perform essential hardware cleaning.",tech,2024-02-09
Rare Bird Speaks Fluent English to Tourists,"Visitors at a local park were stunned when a rare blue bird started reciting Shakespearean plays in a perfect British accent.",nature,2024-02-10
"The Earth is actually hollow, and dinosaurs live inside","A new documentary claims that the planet is hollow and inhabited by prehistoric creatures that never went extinct.",conspiracy,2024-02-11
Scientists Create Working Lightsaber from Kitchen Utensils,"A group of teenagers in a garage have reportedly built a functional lightsaber using a toaster and a microwave magnetron.",tech,2024-02-12
"Famous Rapper actually a Lizard, evidence discovered","Video footage from a concert appears to show the artist's skin flickering, revealing green scales underneath.",entertainment,2024-02-13
"New App Lets You Print Real Money at Home, Legal Loopholes Found","A developer has released an app that uses advanced optics to print valid currency from any home inkjet printer.",finance,2024-02-14
"Moon actually a giant hologram projected by a satellite, experts say","A group of rogue scientists claims they have found the projector on a secret satellite that has been making us think the moon is real.",science,2024-02-15
Secret Base Found on Mars in 1950s Photo,"A recently declassified photo from an early Mars probe shows a building that looks like a 1950s American diner on the red planet.",conspiracy,2024-02-16
"Eating Raw Gold is the Secret to Eternal Youth, Claims Influencer","A popular wellness blogger says that swallowing small pieces of raw gold is the only way to never age again.",health,2024-02-17
